block_number,block_hash,transaction_hash,transaction_index,log_index,pair_address,event_type,in_observation_window,sender,to,reserve0_raw,reserve1_raw,amount0_in_raw,amount1_in_raw,amount0_out_raw,amount1_out_raw,removed
25543560,0xa52463c6bd612fe87b9f2fcf005d6ad829aff87503fb6bd743def25413eada37,0x8bd6e2f4c4e52690de766b0061e5558f350d8e97830ac1e8db12abaea4f28c0d,11,33,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883370981108,4625151616185069519066,,,,,False
25543575,0xe3be5fa653e6507acf4449820dae334e035bbea3e3fdfa1ad9204b11885a06b9,0xe62f9be555955f0e5f400b3c0b23941d23099fc8cf9c9e7eae402a8ae2bf39fb,430,1920,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883350896110,4625162104985101932564,,,,,False
25543583,0xd319800059627407d74820c1a21255b6ddd82440919f4443c0e81f1506f3e103,0x4724d38681728fc9e6d597a44d41b2e510f650680a097042d65f3852375ffde5,642,407,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880100509931851601416,7456152828429,,,,,False
25543603,0x0f94fa37a6b5eb89a1b1d0955291a4e8cd138aa248666f4b39aa84b8f387fee1,0x6312272489c1de4b19751ceb59a9aad7966d8314fac772c824d61d5229ba7ca4,105,235,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880035657526737856875,7456277828429,,,,,False
25543628,0xd38c668d5ab87822fa9780dba1ad3e0ff65b0e616c78a1ca63cf4124492ea12f,0x82454bd1199cdfd7eda3bd488f5e0930fd2c2f2362b8c8c0a1c5fa890c230846,118,356,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880033582285674928903,7456281828429,,,,,False
25543628,0xd38c668d5ab87822fa9780dba1ad3e0ff65b0e616c78a1ca63cf4124492ea12f,0x4dcf95dabf2befe537a983d7e06a00d9b9a64abe9a7976c475ccdc1924d4c68b,126,622,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880058600828041785751,7456233894702,,,,,False
25543638,0x0852bf86af8a5c2f6a73cbeab036f646213ac576f373fffdc70d013168de10c8,0x503b266816482ba9c8c4a3e9a16267fce697ff94486bfdda6bfc0ac52786022e,42,69,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883350885811,4625162110363986302398,,,,,False
25543639,0x37e19401bbbb680a5b69b8b88275df9a5a396016edc343b5abedf69af4ced69e,0xea9839508a63c8dce49f5815094b31468ceed94caeb63a6189c40cd53f623760,17,171,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880099853526179626316,7456154858848,,,,,False
25543642,0xcf2e4a0d164ec823ef3b515a43ef36cb50a431aeb427e17d165595ff6afbdb17,0x1a65729fd4e78e067c0f6cc516b2d52aa62c8c18fd0f76ae7459d3cb97de38dc,30,44,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880101942342164592964,7456150856940,,,,,False
25543646,0x0b2d7384150e7162ae6e1b17b984ef0695df917a53f309162d701d596b9a2f84,0xfad42f992d705a2f7acb433a44c53c62098e919b723ae965d5e4bd5057f2e53a,158,579,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880099867030309104659,7456154856940,,,,,False
25543648,0xc2497c24593e002a8c3e58e000c777492a42dbc1c5e5cc36250cbeb8c1beee4b,0x40393cbe3cbdd5c64f2c7521c1ca516675c1a3f22e2001ebb05c5c47194e9526,17,24,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883197158389,4625242391562113971531,,,,,False
25543648,0xc2497c24593e002a8c3e58e000c777492a42dbc1c5e5cc36250cbeb8c1beee4b,0xf4e1c435dac354ee6e30af8ff3a668600a1094042a88cacf01d0984d08318b2e,18,34,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883197856868,4625242028973911635275,,,,,False
25543648,0xc2497c24593e002a8c3e58e000c777492a42dbc1c5e5cc36250cbeb8c1beee4b,0x5a3b63bfe35642cacbfa3d5033d9c92138acde74a0f87ea4626d409036125c55,38,69,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880109854125561461539,7456135722963,,,,,False
25543657,0xde945ea18073213cb1e7422a826f1858088c6d3605e3c8e1bbfa9eff232b139b,0x831874f424281ed33863374a0a8f65ea918f367dafa3c83d16bd3bb8e1c007d1,204,687,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,22003311293497,11456531961921591663465,,,,,False
25543657,0xde945ea18073213cb1e7422a826f1858088c6d3605e3c8e1bbfa9eff232b139b,0x831874f424281ed33863374a0a8f65ea918f367dafa3c83d16bd3bb8e1c007d1,204,725,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883197856869,4625242028974047001526,,,,,False
25543660,0x304df59fb6c943543f3ab85cc1c41e3d511df9d3f40d37e5949492e54e598f3d,0x0811c20fb9c2f5b443b3239e005580e3470e8531643f8a65865dddb30c73884f,48,103,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880106222316494178928,7456142722963,,,,,False
25543664,0x9af697e5bcefb421aedaf4b90074c8a7c1a11eaa3671d8572eb3926d3ac5319d,0x82585b510987b5adf5859635170328ec198a5df9473a789e07a176581fc9ca01,17,63,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883197846570,4625242034353116988586,,,,,False
25543667,0x17f1af44e8e369b30212e42cbb75613b25acf9f0968ba82535d3ede60775e982,0xa66749ca39b910a1ecf4b2c7a6ac510a8813d3d2bc5e1875b426a5db36d97053,114,974,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880122159297664050113,7456112189924,,,,,False
25543681,0x2cef4a3eaf9fea0b749f5a25c31102e3bf2261195b6d181dcd0b543d749b33ef,0x351b28be1e5686bc9f34268422e9885b06a6653f0b4f6cd3435809bc8590012f,4,81,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,Sync,False,,,1668001016548,1665670294172,,,,,False
25543705,0x2310537cb6dedbffe60a9a8cc6ff22cedca2f87f51b53f90f01a7bab4aa3a932,0xb7fbf2f523920b644ba81a76381b9e6bbadf2c3c3a4ffbd3a5c38236ce91f34f,135,590,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883197876558,4625242018786014378149,,,,,False
25543706,0xc6fc1a499d64e215cc7342ba452e27e0bcdaffa63425420e28f677e6a44cbe1d,0x527da19e02f1ac4602b78ea77bfd6b5d83e79b2f814e3f45c6a13f68902cd317,76,235,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880116970968248509526,7456122189924,,,,,False
25543711,0x7db1550c1656ede3dedc4a7f0de51499b417ab4056f37d4dbe2b08fbc31a6396,0x8867dc3d73984de3a74fb796474821d1f348a3294711a125ef75f2c2726327ef,74,124,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880109707330406293605,7456136189924,,,,,False
25543724,0xb23bf36182427c15b3c8ae64f3178ee10fcd417dc1ad73f77d0c2f422c5abe17,0xb89d4a82fe91f7c5c63ef50a3e04601a5215f9c53cf7fde7edadad9f98061589,215,742,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883188091559,4625247128907938692534,,,,,False
25543728,0xe1b665ac81b96dc824232638963d38feee7fca0bba733a229cd068418ba4cba6,0xcb76aced21731de834d622351009241ff01c63158b3cbe24b7ad501f10f23311,123,243,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883188690800,4625246817834640761725,,,,,False
25543732,0x9950e25f40f1b67b98337eb9e371a4974f3146b8966850dad38be86ba19ed5b9,0x1d402cf746dce3ce8477c2b8865712d88aca1c04cae67cceb524103109292e8f,66,381,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880107632010315256633,7456140189924,,,,,False
25543742,0x7f725f9a60d5e4e13099749e516286bcc1a272106dff82d99e58ec7b8ecb4043,0xaca172fd32f2694c995dc8af51670bdb48ff7d4d656c7b762f652b667d41be61,200,984,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880107980498315256633,7456139522268,,,,,False
25543746,0xc6fbb890584083900b6aa6ddc74cc03dbc6651c17868fef49c1ca537f02cc16e,0x96e868188ef47f5004354b619b250e35df61499846f2ac491682ed1434da8900,46,149,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880102792206878009557,7456149522268,,,,,False
25543755,0x1fe6e28cf0ab76510f8ce1712753be13dbcf13c80075cb53fceba32032b68a72,0xa5b10f89492b2b0f9c3ecac2748bd619107f3db73489eca7e80b8b9b8b881b5b,346,1350,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8883173716639,4625254637967198517679,,,,,False
25543761,0xbdcc877643408a1ba4849432752e01f93f776b34931649142c4128efe1468772,0xbff65c61dec8b1cce9f8f45f4167dabaadee00a46ca07239bf397ccb3b23d44b,1,67,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8881278925489,4626244389828293928111,,,,,False
25543761,0xbdcc877643408a1ba4849432752e01f93f776b34931649142c4128efe1468772,0xbff65c61dec8b1cce9f8f45f4167dabaadee00a46ca07239bf397ccb3b23d44b,1,82,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880777491120814173141,7454857109435,,,,,False
25543762,0xc7652ae5c9b05437a6eeaabdfee9db2624072328e55783a28c43f54afa7280f8,0x5b7cdc9164052ac17c609c6bf1a9deec11858164bc13739bdc32f4d2ecf11e0d,32,96,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3880776724826524933287,7454858585893,,,,,False
25543763,0xbde60cda7a557b352ff0428746e17cfb9a5c0b535b7e24a746602ccb9250a1f5,0x2be25cbb2d728cd36c9e7af013163914532c4af766622e708bd5f8dcb15fab1c,109,312,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8880744582075,4626523583366667370351,,,,,False
25543764,0x9875f58c6f1e6893efc0dae360858f28c30e3cb6595d01a6807ddf1ae8ff6909,0xfac9aaf76d92105c9c12bebe6f328ceff49286bce1bde3060cfd09bfc42a6224,5,21,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3881241647976602560807,7453968269552,,,,,False
25543764,0x9875f58c6f1e6893efc0dae360858f28c30e3cb6595d01a6807ddf1ae8ff6909,0xb93513cd7ffd639b67a0ce75bb685314efb33a6d8dcbe34a8b3c9ad82a17e1a1,136,1317,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8880223007147,4626796137846453402895,,,,,False
25543765,0x2cddbdf06dfa2a5a75f43e39235cb5ca114f64ce0bd2f9880fdaa304f9d5dfab,0x412e1f7d02a8a86cd46a65bf973569bbc07bcb6c925340e0ad42869fe3bf625f,6,44,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8880224482525,4626795371447537547577,,,,,False
25543769,0xded0ba412a85b2b641743ac889020eb350145e2f03d4cd8ab83d34337e79ce2a,0x61ceb9c568ef158a7d19464053d0dc9210a1b34199d56d8e2386a57230f9458f,7,90,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8880225957999,4626794604999007898249,,,,,False
25543770,0x8c49a0c6ebba0e51f55c47bc3f583f7b6ab9a1e58aa43930aaa019cbf60bb1bd,0x68bcac2adb34ece02d35ed6f5e45d867151743253a798c0e953ccebd4f23de2f,97,306,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3881236220007971114414,7453978725409,,,,,False
25543772,0xab202f6257700971c984f488285d031400ba1daaadf6ec0a6519a68ea14d30d0,0x4683fc245c7d0ae38566e89f94efe2d7009ce3e9cde3cee2ed77b950756f368d,3,117,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3882501884854879288494,7451556074860,,,,,False
25543772,0xab202f6257700971c984f488285d031400ba1daaadf6ec0a6519a68ea14d30d0,0x4683fc245c7d0ae38566e89f94efe2d7009ce3e9cde3cee2ed77b950756f368d,3,126,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8877364385220,4628290516191577594505,,,,,False
25543773,0x6a06412bee03c9f7e63a5c6d6f08b24a57740ab9eb3a4a09e008b89c741be943,0x3e11c9be57e81409c2bfad23e55c65655230bf7cabc62dd841842e249eb03ad9,1,194,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3884896854253300113582,7446976096653,,,,,False
25543773,0x6a06412bee03c9f7e63a5c6d6f08b24a57740ab9eb3a4a09e008b89c741be943,0x3e11c9be57e81409c2bfad23e55c65655230bf7cabc62dd841842e249eb03ad9,1,224,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8871911839173,4631143554333678437001,,,,,False
25543775,0x8993872eafd5e12a827e80950c90dea8f33d4306fa990ffc28d20dc9933f4be7,0x7c6e998ecb57dc87a7853a38ad9aa64e62707380233f6cf2003ecd3495d231ed,19,84,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8869769139182,4632265683899040630665,,,,,False
25543775,0x8993872eafd5e12a827e80950c90dea8f33d4306fa990ffc28d20dc9933f4be7,0x55cbb0b9259268cd67126e85961ae8b2353ef14becee950204fdc1f80b9e9c8e,21,92,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3885881591385702426542,7445094591848,,,,,False
25543777,0x2003fd1543c1b63b610ac5c756c6f3ddee2842cf078e2515ad2c8ca4a74e5c66,0xc1db17cde1355559928d1bfc33e8791285a7da0becb59726449db61b458facf7,654,1395,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8869752255355,4632274528081964801426,,,,,False
25543778,0x32e4d0d8667d913bf298a8710efa6a24ba4e72fa2762cf1a6f9e5a59362b7c0f,0x07d7b212181769ca7baf9b93257e9dc107805161d910804682d1c699a082bb9f,33,239,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3886318326242134124782,7444260440206,,,,,False
25543778,0x32e4d0d8667d913bf298a8710efa6a24ba4e72fa2762cf1a6f9e5a59362b7c0f,0x33b66893b3bdf48d4172dfe3c10104af9178655f57f2d547db46663a309f3069,40,262,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8868622438678,4632866431633875367186,,,,,False
25543785,0x141e0b700c5192984280b20c6ca34218cb66bdc3c48738b65e805502b76d1e6c,0xb52ae51c3d564d29b1fe4a49c923f7c301dfc73163c47a02d5acc67c1146e605,84,211,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8867519595578,4633444350753905460626,,,,,False
25543785,0x141e0b700c5192984280b20c6ca34218cb66bdc3c48738b65e805502b76d1e6c,0x951bb43521f9995a823c2de14c540b058c459e0b6007847ab9fbd59f8944e1cd,85,215,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3886842382995132828462,7443259755145,,,,,False
25543786,0xda64ca563a7fbce64e140ac1e0733338eff62ec8464792b1dacc83ccd9c7957a,0x24792b7d6ef6b84c5c7f35e92ed832a3ae158d9e926ed590c8d5c844f8518b0d,21,101,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8866654529265,4633897769293817631250,,,,,False
25543786,0xda64ca563a7fbce64e140ac1e0733338eff62ec8464792b1dacc83ccd9c7957a,0x80f0c681917f1f3c37617b2adc43a2cbea693e229d2aea4b50687119c2d2e24d,24,112,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3887180253060805144686,7442614735985,,,,,False
25543787,0x7104a9dbc7b711bb8b28a5d115211c960d7a51f3c916124af3acac6e36cd01d5,0xc77f8be74419357b0fc6aaf743b75e6c0ba433e8759c9f66458c254eb88b3317,15,12,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8866677608778,4633885743677794021502,,,,,False
25543787,0x7104a9dbc7b711bb8b28a5d115211c960d7a51f3c916124af3acac6e36cd01d5,0x70e639fe04d1cd0876c85f35760a1d740ade80f0578a329829be0eeff1d64989,16,17,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8866680428692,4633884274361529659518,,,,,False
25543793,0x20e5fca084acc808e46aff2ec495b0bc6b7f27fd28a84b26943b78fcadbb6a62,0xe063af154f4d8e69571320e91a1d22b1bfba2d57fc275f7d890617e5b59792ab,23,101,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8863254035965,4635681054078169884798,,,,,False
25543793,0x20e5fca084acc808e46aff2ec495b0bc6b7f27fd28a84b26943b78fcadbb6a62,0xc670b045887ac4e9a4a15cdceeb94e8b985f466dabb3fbd1463e9753cdf29622,25,108,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3888703519443372415342,7439708095198,,,,,False
25543802,0x9e7628a09bf96ed2ca6c3c98a6f10d2924489d4f071b64697a18d1f76724a5e5,0x88a741a6d36ef6eda90e0d8fadd8c0f2121ccea51dc7b350d8e571c83a14deaf,26,108,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3889126062032780121582,7438902218132,,,,,False
25543802,0x9e7628a09bf96ed2ca6c3c98a6f10d2924489d4f071b64697a18d1f76724a5e5,0x919931fcfe822dc09f122b0f070b6cb4ccdaac8ca3194ab22a8ec9837a7deb80,27,112,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8862380866374,4636139161629224438526,,,,,False
25543805,0xc0ae907c8d008d160e290d94611f35aca80a9fe786494cc02c3c63a992d67337,0x7acbf38117f23a2943c5dabd3ef76ba8c389346b7ec9d73cc1b2dc8b500c8f2b,77,172,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8862363874729,4636148077159308801233,,,,,False
25543812,0x817be9c7572f705c70b4d68b107152a221f5f40abba8a0003958e7408cc5d87c,0x1371d61db64d234026752606c88a9077317bad8d1dff3807466930dfbfd3e660,65,357,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3889118764676513623132,7438916218132,,,,,False
25543813,0x5c8b49761db00f5b75a12536238d30186826c4f56234461143ed64f8aee7a6c5,0xbd26754795f7eb5408d92f75379ea8851868aad2d6614e551392ad5c2cc26d7e,5,90,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8861863416198,4636410683486464048856,,,,,False
25543818,0x99af6c269af7e932d184941d5ffe2e5cb3a0f5d642cefd1b1dfccb9e4578be01,0xf6557df906065df89e7cf0b94625d90a3ededd4e669f0e5f3620ed27444763a3,18,80,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890394047599158731100,7436485036888,,,,,False
25543818,0x99af6c269af7e932d184941d5ffe2e5cb3a0f5d642cefd1b1dfccb9e4578be01,0x69d25d4ad59b7369bab16a493f9b2ef33ab639665a5f53038bd5bec755b06cae,19,84,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8859352053493,4637728925316610192088,,,,,False
25543819,0x6e6e5f84f53a9291504372d007c5733be46415f087fbd0bc35267be3f048005b,0x13eb20a61bdc85312efb0ece2345e07eb93442cda70b5c62a91ce441b41897af,21,184,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8859209696972,4637803672113800572088,,,,,False
25543820,0x8a7b0fd6485ac23660335b218ac981f506aeeba8ec16af954d664f8bcf897eee,0xbaa3b6e2381ae2300b5c0ccf1f23a45c621a2c04b89acf24cae79b6ce7f15bcc,103,586,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858619681388,4638113495807914082648,,,,,False
25543841,0x94efffccb290728f8bf70dfc0af2254035ae6d207cfa78886c9f1b9db23d305c,0x3add1ca6b69a9d0d83308d011c50f451b308d440bb1d9e42a7b1d95c0716cfb3,43,94,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890391028763488421865,7436490824758,,,,,False
25543844,0x5b422034b0d0e61160ea4baba822e9c1ef8982e5dce0be05e4b61841e54f7c9c,0x4dc62e851153e7e228d0f359b374c9e18b39fc1520a5e1b5a35ff51ce1818209,50,50,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890388942447312137903,7436494824758,,,,,False
25543846,0x5637878ba9b9d1f692aa214a423e7635826c26a0ccf085033e1766e11d1ffe19,0xa9432f0998c2ae852f1d676cac9eb36b2ebdd58fe8ffbaa3a2c8dca89f4b1ad0,251,623,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890381640358328583927,7436508824758,,,,,False
25543850,0xc293cbdf939fc1e393d8d9676e0e5af3e52b68847c995f4ea699aa2f3961428f,0xac31b3d4794e8995b4998269fa3c8e2dcf56b530d9a35bbf2ba27cb5b2552c73,12,126,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858626774369,4638109793275042668549,,,,,False
25543854,0x4dbd8433ac31057d319f92763303062ad9f442ef09024a6a550a20ade611cc2a,0xb1b87557e2c0b042a61c587ac1d359231335205fe2b5be8773e9b818b4886faa,33,187,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858607204371,4638120070390111714899,,,,,False
25543854,0x4dbd8433ac31057d319f92763303062ad9f442ef09024a6a550a20ade611cc2a,0xbf30b4192d65806ef07660b0b23616b7086cd004a54f12ea22e6e0479424b6dd,51,226,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890385640358328583927,7436501201659,,,,,False
25543858,0xf342b909882baecd9b7f8d44e836686d49078e9b108d3a65199aac272c3d8eda,0xf71d49b0ac78d9534db7fff82f0430f52be4fbb17d5845ab78647162bbd82db4,248,596,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858602569392,4638122504439696583786,,,,,False
25543859,0xa77f8ae5f9377889c43650c1cec10791a398fa0491a78978b135992c1ae9ba7d,0x175b435b01019820ddbaaf9b0596ff32a227c551f110cafbdfe409f635cc8099,84,498,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890306751243942834804,7436652455610,,,,,False
25543860,0x88cc626b5465a5cbdc0e55235d074b306d748cf465f23cb29a6977d5f3f5bcd5,0x94c6ad7c5108d924b85d5a0fe32574eb3d5a630af81cb54dac5fa9ce8dd0160f,18,84,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890926363067786469236,7435471758044,,,,,False
25543865,0x435012c33941e9470a73be9e2146870ecfec83ce9cdbd14d2fd19910ba2fa347,0x4ec55824b1d1a8b22864cc1f100308e5a3d022f979d8256e000c8a92dbb566ce,16,93,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858592011893,4638128048697693085268,,,,,False
25543875,0x05b59232154400718b6aac9bf8e27acb02ff418bb1e0a14023df7ff6aa7249f0,0x91accde6b1c9ce58d674924afa06a876f01c76f1937433b8f2bbfac23c21d913,88,903,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890916972083831016059,7435489758044,,,,,False
25543878,0xc32e98065d53422e76aa7486e49b8cd3d1d75e90cd5841002982b8abd3d4a88a,0xb53b20bb9dd34007e91ba3e3b26659bd41173222389b992a587579f21d38a95a,103,200,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,Sync,False,,,3890909668016592214247,7435503758044,,,,,False
25543892,0x4dbb109c77f518c9bbd3b1e5835035b690760d841ba47caf83a85021e0d04b32,0x31e0c22985d1d05b94ee9764914fefca9d87b45bfd980b3fd55d1f25ba31cacd,40,136,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858580016298,4638134348185830066031,,,,,False
25543894,0xfea0762dfe4c0a62698a9154999153dfe796a5ec31a46520c902001c3bf0f6fc,0xe8b22c1eb3792fe6abefe856bccd11229c62b927ded84fdfc8af5a8fbe88d82a,43,102,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858374016438,4638242531698613023469,,,,,False
25543916,0x4d51ad38bc8f39a4ea152d9fa44e534936d5e69c26b3f009c5e63a07220a5a66,0xa7197eebbc28743ea3fc9a81107d40db6e5628fe13750a90c564813ecf9f0d54,56,170,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,Sync,False,,,8858460304618,4638197487206920500426,,,,,False
