transaction_hash,block_number,transaction_index,status,gas_used,effective_gas_price,gas_units_proxy,proxy_limitation,sample_index,value_class
0xc22c0088e25de3c0b8b70734280c37d729170b7604d10853c3a9fbb9e44e4a7c,25545556,57,1,212312,2700068078,212312,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",1,direct_observation_and_gas_proxy
0x69ca67c580bebc5958cf2fa8c48d769dbabc89e334f2519056885a97e8c36732,25545571,0,1,142556,6110647192,142556,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",2,direct_observation_and_gas_proxy
0x943c6980e826e7c84e3a11bf973e96b12a45a266008f0cf6f8d14d61b4db5923,25545581,26,1,212300,2671472806,212300,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",3,direct_observation_and_gas_proxy
0x2ed211bad48729f25fd37950e1d7b6cff6a2a51136e99c941174b6cb5a53aec7,25545608,18,1,108226,301831630,108226,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",4,direct_observation_and_gas_proxy
0x6a82faa507b89a9f56a8255b746b8592032b184796e12bc096fbafcb6cd549eb,25545628,46,1,108226,1352251156,108226,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",5,direct_observation_and_gas_proxy
0x308989d23178282d65acc324a49d670c8714be13b12cd1642d78f01a0962e2cb,25545636,204,1,112365,265215682,112365,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",6,direct_observation_and_gas_proxy
0x9498a4a03273a945ba27686407a2e73dc78e243ef5775d170977ab811ec46202,25545652,70,1,254633,785513420,254633,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",7,direct_observation_and_gas_proxy
0xc06168acc7aae55c321d1ead4948eb4774cfc1e6a9529022563e0d559b82c1ea,25545674,68,1,657072,193430764,657072,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",8,direct_observation_and_gas_proxy
0x3cc15a4241754ac5f361d3a880f2a2ce8a8a0db367aff4cb824c22ac95d2cc3d,25545694,41,1,664558,312329109,664558,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",9,direct_observation_and_gas_proxy
0xe8078abb593957a533246e0425b2fce7fc23ccc6cb9e24bc787f1b5b8067eb7c,25545718,115,1,130685,227482800,130685,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",10,direct_observation_and_gas_proxy
0x6aae88eab57a8c41988032074b7d64973e7f7aa4b965149e23c3c7856529344d,25545728,103,1,172950,245707888,172950,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",11,direct_observation_and_gas_proxy
0xdf2004929a46349b67ab66c600ab55776c8aa107009b2c9117387ad2f5bba290,25545734,121,1,107712,270258627,107712,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",12,direct_observation_and_gas_proxy
0x0a61f731db30f2f0b7401eba5b661f6fe8948a5b6ed713b03cf60aa540e98c82,25545742,1,1,6997510,178759779,6997510,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",13,direct_observation_and_gas_proxy
0x3b5b86e193db941f85b256a66d9ccda1cf4842e8d05f120775a355757488e1a3,25545745,0,1,8426565,9878662806,8426565,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",14,direct_observation_and_gas_proxy
0x8dc430bc7b81dede0a2cab618e0564ed0eaf93c993d5ee1ba3adf9f5b4ee7dff,25545760,3,1,809194,278835477,809194,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",15,direct_observation_and_gas_proxy
0x43abff2abb9c953f4ecc23463f695cde5019648497d4771e25030bc0ce1ef509,25545777,19,1,162534,305517855,162534,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",16,direct_observation_and_gas_proxy
0xdd12525378aa9298f3f67357fa3424200ae54da03d9690906241795a660fbad3,25545816,25,1,162546,221840481,162546,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",17,direct_observation_and_gas_proxy
0x8d5d9b381a9f376eb3babbdb496b1aaf5667917ef2fc0ca082e25757fa86ee4b,25545827,8,1,207480,2276967771,207480,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",18,direct_observation_and_gas_proxy
0x350963c089b2dee3ec5c234a6fe1520a32c664f93f9fa7328d550d490790819d,25545846,275,1,173350,267398921,173350,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",19,direct_observation_and_gas_proxy
0xdf141aa07cfa6840bfb5482f5459a668febc87fdf226c2a6a8a515f0ef4d45f7,25545882,27,1,168830,171394267,168830,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",20,direct_observation_and_gas_proxy
0xefe9238c873a412d6f0dfc2e39ab3824b4c7158960a169068401af9313c2017e,25545913,84,1,167965,201405545,167965,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",21,direct_observation_and_gas_proxy
0xe1c582cfcb21433ab6926d16e213fd6ce708079f5c600f897da5efcfd54abeae,25545942,53,1,202567,2865483168,202567,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",22,direct_observation_and_gas_proxy
0xd0bb8ba66115d326dadba8872d55b4a3c0c3ad19266129fc4dd536cdb9d9c5b3,25545962,1,1,7054327,43659861937,7054327,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",23,direct_observation_and_gas_proxy
0xfa11ea91d8ab47475013640be35eeffcca1c397427697ea47554c522b6803e02,25545971,32,1,230553,2810853558,230553,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",24,direct_observation_and_gas_proxy
0x13796e821fb2d3d94232a65f13906db02e3df521455f0877046f8edc1cea13fb,25546000,119,1,202438,496832475,202438,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",25,direct_observation_and_gas_proxy
0x2eb4ba06d371667de703fef664b44ea484ddb719a2087bf1f2f15cc58dc394be,25546021,138,1,107712,466474834,107712,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",26,direct_observation_and_gas_proxy
0xf62139bf1f36dab5fd3f58ce9c6ea8985633ce888f3256f122847eb95e3da9c7,25546026,195,1,422727,790445616,422727,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",27,direct_observation_and_gas_proxy
0xf5724f16b841a26605825d4d186d1a7c968612f8dbe90561c8e88d603bfdad94,25546036,126,1,552682,445298663,552682,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",28,direct_observation_and_gas_proxy
0xef8e8ccef646914171e659e8b8bb28127bef6e51160ce9b895d30d7e6d66d336,25546053,1,1,5602348,9342012720,5602348,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",29,direct_observation_and_gas_proxy
0x5fb666c78660dab8bbcbdd8f6b122f419c7676e1548314d103343d4fa6d0ef1e,25546073,210,1,419655,2316557211,419655,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",30,direct_observation_and_gas_proxy
0x851274802160a7a65d0080f86948181533d3ffc1ead74aa1582b7bdb3bfb5c3f,25546109,54,1,107700,1682208683,107700,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",31,direct_observation_and_gas_proxy
0x2ea0fc79050c80756ce0ada54c9476225ded1fce2826628abdb917e92de98e4d,25546114,271,1,108108,246165710,108108,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",32,direct_observation_and_gas_proxy
0xe5cb92b8656234ecadbffacfc94581971f42a9ce82ca808b5e23a32b50827748,25546117,1,1,8317382,33058973250,8317382,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",33,direct_observation_and_gas_proxy
0xfaf9c3f3d852c50c03cf9992edf9cb96b8bcfebf5d4b418adea4dc6f63014331,25546124,35,1,1540919,1252323587,1540919,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",34,direct_observation_and_gas_proxy
0xdd1f92678300a570dbfb8aa7189100ec22f5eadc2322e2c8a4f9996bd3f4d790,25546158,23,1,2661294,2252229929,2661294,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",35,direct_observation_and_gas_proxy
0x269a9b2948402958c960e35e75e1bc9272858a74c82a73a1505af90f5781dff2,25546179,81,1,271048,1965448847,271048,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",36,direct_observation_and_gas_proxy
0x57fee6917c54810a5a696f3625dc626ecf4c7cdc97f695ad56e82d45670093b3,25546205,2,1,164156,3718311380,164156,"Receipt gas_used covers the full sampled transaction, not a standardized three-hop arbitrage contract.",37,direct_observation_and_gas_proxy
